pb,pi,ev,pe,evr / pm,0.00721,50.1857,307.04579,2465.0069
3424.460700,0.000010,1.000000,206665.809879,9189326.337182,2818.000000,2143.000000,1439.000000,717.000000
3424.460700,0.000010,1.000000,206665.809879,10.347000,2181.000000,1592.000000,977.000000,497.000000
3424.460700,0.000010,1.000000,206665.809879,3.666500,1524.000000,1038.000000,636.000000,326.000000
3424.460700,0.000010,1.000000,206665.809879,1.630250,809.000000,495.000000,293.000000,152.000000
3424.460700,0.000010,1.000000,39.675077,9189326.337182,2127.000000,1703.000000,1130.000000,572.000000
3424.460700,0.000010,1.000000,39.675077,10.347000,1753.000000,1356.000000,836.000000,433.000000
3424.460700,0.000010,1.000000,39.675077,3.666500,1309.000000,952.000000,587.000000,306.000000
3424.460700,0.000010,1.000000,39.675077,1.630250,719.000000,462.000000,278.000000,145.000000
3424.460700,0.000010,1.000000,19.993609,9189326.337182,1420.000000,1159.000000,775.000000,418.000000
3424.460700,0.000010,1.000000,19.993609,10.347000,1180.000000,924.000000,571.000000,309.000000
3424.460700,0.000010,1.000000,19.993609,3.666500,949.000000,708.000000,441.000000,243.000000
3424.460700,0.000010,1.000000,19.993609,1.630250,571.000000,387.000000,237.000000,131.000000
3424.460700,0.000010,1.000000,11.742437,9189326.337182,704.000000,560.000000,366.000000,199.000000
3424.460700,0.000010,1.000000,11.742437,10.347000,556.000000,416.000000,237.000000,131.000000
3424.460700,0.000010,1.000000,11.742437,3.666500,471.000000,336.000000,190.000000,109.000000
3424.460700,0.000010,1.000000,11.742437,1.630250,315.000000,209.000000,113.000000,67.000000
3424.460700,0.000010,588.000000,206665.809879,9189326.337182,2114.000000,1614.000000,1062.000000,524.000000
3424.460700,0.000010,588.000000,206665.809879,10.347000,1669.000000,1230.000000,749.000000,359.000000
3424.460700,0.000010,588.000000,206665.809879,3.666500,1091.000000,739.000000,445.000000,213.000000
3424.460700,0.000010,588.000000,206665.809879,1.630250,544.000000,333.000000,195.000000,90.000000
3424.460700,0.000010,588.000000,39.675077,9189326.337182,1553.000000,1249.000000,808.000000,396.000000
3424.460700,0.000010,588.000000,39.675077,10.347000,1316.000000,1025.000000,623.000000,302.000000
3424.460700,0.000010,588.000000,39.675077,3.666500,925.000000,669.000000,404.000000,195.000000
3424.460700,0.000010,588.000000,39.675077,1.630250,480.000000,306.000000,182.000000,84.000000
3424.460700,0.000010,588.000000,19.993609,9189326.337182,996.000000,818.000000,529.000000,271.000000
3424.460700,0.000010,588.000000,19.993609,10.347000,839.000000,663.000000,399.000000,200.000000
3424.460700,0.000010,588.000000,19.993609,3.666500,639.000000,474.000000,285.000000,143.000000
3424.460700,0.000010,588.000000,19.993609,1.630250,370.000000,252.000000,151.000000,74.000000
3424.460700,0.000010,588.000000,11.742437,9189326.337182,495.000000,404.000000,255.000000,131.000000
3424.460700,0.000010,588.000000,11.742437,10.347000,403.000000,314.000000,177.000000,92.000000
3424.460700,0.000010,588.000000,11.742437,3.666500,327.000000,241.000000,136.000000,74.000000
3424.460700,0.000010,588.000000,11.742437,1.630250,209.000000,146.000000,80.000000,45.000000
3424.460700,0.000010,2770.000000,206665.809879,9189326.337182,1412.000000,1112.000000,717.000000,354.000000
3424.460700,0.000010,2770.000000,206665.809879,10.347000,1156.000000,886.000000,540.000000,245.000000
3424.460700,0.000010,2770.000000,206665.809879,3.666500,720.000000,513.000000,308.000000,141.000000
3424.460700,0.000010,2770.000000,206665.809879,1.630250,337.000000,218.000000,125.000000,58.000000
3424.460700,0.000010,2770.000000,39.675077,9189326.337182,1011.000000,826.000000,518.000000,246.000000
3424.460700,0.000010,2770.000000,39.675077,10.347000,900.000000,722.000000,435.000000,196.000000
3424.460700,0.000010,2770.000000,39.675077,3.666500,610.000000,458.000000,275.000000,125.000000
3424.460700,0.000010,2770.000000,39.675077,1.630250,296.000000,197.000000,116.000000,52.000000
3424.460700,0.000010,2770.000000,19.993609,9189326.337182,614.000000,511.000000,315.000000,157.000000
3424.460700,0.000010,2770.000000,19.993609,10.347000,545.000000,444.000000,260.000000,123.000000
3424.460700,0.000010,2770.000000,19.993609,3.666500,405.000000,311.000000,183.000000,88.000000
3424.460700,0.000010,2770.000000,19.993609,1.630250,224.000000,161.000000,95.000000,47.000000
3424.460700,0.000010,2770.000000,11.742437,9189326.337182,297.000000,247.000000,144.000000,75.000000
3424.460700,0.000010,2770.000000,11.742437,10.347000,259.000000,211.000000,116.000000,60.000000
3424.460700,0.000010,2770.000000,11.742437,3.666500,205.000000,159.000000,87.000000,47.000000
3424.460700,0.000010,2770.000000,11.742437,1.630250,125.000000,94.000000,51.000000,31.000000
3424.460700,0.000010,12549.000000,206665.809879,9189326.337182,703.000000,586.000000,387.000000,191.000000
3424.460700,0.000010,12549.000000,206665.809879,10.347000,569.000000,461.000000,283.000000,129.000000
3424.460700,0.000010,12549.000000,206665.809879,3.666500,311.000000,235.000000,141.000000,66.000000
3424.460700,0.000010,12549.000000,206665.809879,1.630250,143.000000,96.000000,59.000000,31.000000
3424.460700,0.000010,12549.000000,39.675077,9189326.337182,510.000000,433.000000,276.000000,127.000000
3424.460700,0.000010,12549.000000,39.675077,10.347000,457.000000,381.000000,232.000000,103.000000
3424.460700,0.000010,12549.000000,39.675077,3.666500,278.000000,218.000000,133.000000,61.000000
3424.460700,0.000010,12549.000000,39.675077,1.630250,129.000000,90.000000,55.000000,28.000000
3424.460700,0.000010,12549.000000,19.993609,9189326.337182,305.000000,261.000000,160.000000,75.000000
3424.460700,0.000010,12549.000000,19.993609,10.347000,268.000000,225.000000,131.000000,59.000000
3424.460700,0.000010,12549.000000,19.993609,3.666500,187.000000,147.000000,86.000000,41.000000
3424.460700,0.000010,12549.000000,19.993609,1.630250,99.000000,72.000000,45.000000,25.000000
3424.460700,0.000010,12549.000000,11.742437,9189326.337182,146.000000,128.000000,72.000000,39.000000
3424.460700,0.000010,12549.000000,11.742437,10.347000,128.000000,111.000000,60.000000,33.000000
3424.460700,0.000010,12549.000000,11.742437,3.666500,89.000000,73.000000,39.000000,24.000000
3424.460700,0.000010,12549.000000,11.742437,1.630250,49.000000,38.000000,21.000000,16.000000
