pb,pi,ev,pe,evr / pm,0.08906,125.98419,1273.39959
2585.000000,0.000012,419.000000,12664.239669,41.102000,752.000000,503.000000,252.000000
2585.000000,0.000012,419.000000,12664.239669,5.955000,511.000000,303.000000,128.000000
2585.000000,0.000012,419.000000,12664.239669,2.731000,262.000000,143.000000,63.000000
2585.000000,0.000012,419.000000,28.022844,41.102000,504.000000,333.000000,159.000000
2585.000000,0.000012,419.000000,28.022844,5.955000,400.000000,242.000000,104.000000
2585.000000,0.000012,419.000000,28.022844,2.731000,229.000000,126.000000,56.000000
2585.000000,0.000012,419.000000,13.945442,41.102000,249.000000,167.000000,78.000000
2585.000000,0.000012,419.000000,13.945442,5.955000,195.000000,119.000000,50.000000
2585.000000,0.000012,419.000000,13.945442,2.731000,125.000000,66.000000,32.000000
2585.000000,0.000012,13390.000000,12664.239669,41.102000,498.000000,347.000000,187.000000
2585.000000,0.000012,13390.000000,12664.239669,5.955000,303.000000,183.000000,79.000000
2585.000000,0.000012,13390.000000,12664.239669,2.731000,143.000000,80.000000,40.000000
2585.000000,0.000012,13390.000000,28.022844,41.102000,316.000000,217.000000,109.000000
2585.000000,0.000012,13390.000000,28.022844,5.955000,233.000000,144.000000,62.000000
2585.000000,0.000012,13390.000000,28.022844,2.731000,124.000000,70.000000,35.000000
2585.000000,0.000012,13390.000000,13.945442,41.102000,159.000000,119.000000,59.000000
2585.000000,0.000012,13390.000000,13.945442,5.955000,112.000000,77.000000,34.000000
2585.000000,0.000012,13390.000000,13.945442,2.731000,66.000000,39.000000,20.000000
2585.000000,0.000012,37572.000000,12664.239669,41.102000,248.000000,172.000000,96.000000
2585.000000,0.000012,37572.000000,12664.239669,5.955000,150.000000,92.000000,42.000000
2585.000000,0.000012,37572.000000,12664.239669,2.731000,57.000000,31.000000,17.000000
2585.000000,0.000012,37572.000000,28.022844,41.102000,150.000000,105.000000,59.000000
2585.000000,0.000012,37572.000000,28.022844,5.955000,106.000000,66.000000,31.000000
2585.000000,0.000012,37572.000000,28.022844,2.731000,44.000000,24.000000,12.000000
2585.000000,0.000012,37572.000000,13.945442,41.102000,66.000000,52.000000,30.000000
2585.000000,0.000012,37572.000000,13.945442,5.955000,42.000000,30.000000,15.000000
2585.000000,0.000012,37572.000000,13.945442,2.731000,22.000000,13.000000,7.000000
